???????,tlv-????,????????? ???????
juniper-command show class-of-service application-traffic-control statistics rule,libappsecure-dd.so,False
juniper-command show class-of-service application-traffic-control statistics rate-limiter,libappsecure-dd.so,False
juniper-command show class-of-service application-traffic-control rate-limiters summary,libappsecure-dd.so,False
juniper-command show class-of-service application-traffic-control rate-limiters rl-all,libappsecure-dd.so,False
juniper-command show class-of-service application-traffic-control rate-limiters rl-name rl-name,libappsecure-dd.so,False
juniper-command show class-of-service spu-queue statistics fpc slot,libappsecure-dd.so,False
juniper-command show class-of-service application-traffic-control rate-limiters rl-name level brief,libappsecure-dd.so,False
juniper-command show class-of-service application-traffic-control rate-limiters rl-name level extensive,libappsecure-dd.so,False
apply-macro-type name,libaprobe-dd.so,True
apply-macro-type data,libaprobe-dd.so,True
macro-data-type keyword,libaprobe-dd.so,False
macro-data-type value,libaprobe-dd.so,False
apply-flags-type omit,libaprobe-dd.so,True
juniper-config active-probe,libaprobe-dd.so,True
active_probe apply-macro,libaprobe-dd.so,False
active_probe apply-flags,libaprobe-dd.so,False
active_probe dynamic-db,libaprobe-dd.so,False
active_probe port,libaprobe-dd.so,False
active_probe apply-groups value,libaprobe-dd.so,False
active_probe apply-groups-except value,libaprobe-dd.so,False
active_probe interface interface_name,libaprobe-dd.so,False
active_probe interface apply-macro,libaprobe-dd.so,False
active_probe interface apply-flags,libaprobe-dd.so,False
active_probe interface dynamic-db,libaprobe-dd.so,False
active_probe interface hello-interval,libaprobe-dd.so,False
active_probe interface neighbor,libaprobe-dd.so,False
active_probe interface ttl,libaprobe-dd.so,False
active_probe interface apply-groups value,libaprobe-dd.so,False
active_probe interface apply-groups-except value,libaprobe-dd.so,False
active_probe interface enab_disab enable,libaprobe-dd.so,True
active_probe interface enab_disab disable,libaprobe-dd.so,False
juniper-command show active-probe level brief,libaprobe-dd.so,True
juniper-command show active-probe level extensive,libaprobe-dd.so,True
juniper-command show active-probe level summary,libaprobe-dd.so,True
apply-macro-type name,libauthd_cmd-dd.so,True
apply-macro-type data,libauthd_cmd-dd.so,True
macro-data-type keyword,libauthd_cmd-dd.so,False
macro-data-type value,libauthd_cmd-dd.so,False
apply-flags-type omit,libauthd_cmd-dd.so,True
juniper-command show network-access securid-node-secret-file,libauthd_cmd-dd.so,False
juniper-command show network-access memory-pools,libauthd_cmd-dd.so,True
juniper-command clear network-access securid-node-secret-file,libauthd_cmd-dd.so,False
juniper-command show network-access requests statistics,libauthd_cmd-dd.so,False
juniper-command show network-access domain-map statistics,libauthd_cmd-dd.so,False
juniper-command show network-access aaa accounting,libauthd_cmd-dd.so,False
juniper-command show network-access jsrc statistics,libauthd_cmd-dd.so,True
juniper-command show network-access gx-plus state,libauthd_cmd-dd.so,False
juniper-command show network-access gx-plus sync-state,libauthd_cmd-dd.so,False
juniper-command clear network-access requests statistics,libauthd_cmd-dd.so,False
juniper-command clear network-access gx-plus statistics,libauthd_cmd-dd.so,False
juniper-command clear network-access gx-plus replay,libauthd_cmd-dd.so,False
juniper-command test aaa ppp password,libauthd_cmd-dd.so,False
juniper-command test aaa ppp terminate-code-choice,libauthd_cmd-dd.so,False
juniper-command test aaa dhcp password,libauthd_cmd-dd.so,False
juniper-command test aaa dhcp mac-address,libauthd_cmd-dd.so,False
juniper-command test aaa dhcp option-82,libauthd_cmd-dd.so,False
juniper-command test aaa dhcp source-address,libauthd_cmd-dd.so,False
juniper-command test aaa authd-lite password,libauthd_cmd-dd.so,False
juniper-command test aaa authd-lite zero-stats,libauthd_cmd-dd.so,False
juniper-command show network-access requests pending filter,libauthd_cmd-dd.so,False
juniper-command show network-access requests pending detail,libauthd_cmd-dd.so,False
juniper-command show network-access requests pending index,libauthd_cmd-dd.so,False
juniper-command show network-access aaa subscribers username,libauthd_cmd-dd.so,False
juniper-command show network-access aaa subscribers routing-instance,libauthd_cmd-dd.so,False
juniper-command show network-access aaa subscribers logical-system,libauthd_cmd-dd.so,False
juniper-command show network-access aaa statistics detail,libauthd_cmd-dd.so,False
juniper-command show network-access address-assignment pool name,libauthd_cmd-dd.so,False
juniper-command show network-access address-assignment pool routing-instance,libauthd_cmd-dd.so,False
juniper-command show network-access address-assignment pool logical-system,libauthd_cmd-dd.so,False
juniper-command clear network-access requests pending index,libauthd_cmd-dd.so,False
juniper-command clear network-access aaa subscriber username,libauthd_cmd-dd.so,False
juniper-command test aaa ppp user username,libauthd_cmd-dd.so,False
juniper-command test aaa ppp profile access-profile-name,libauthd_cmd-dd.so,False
juniper-command test aaa ppp logical-system logical-system-name,libauthd_cmd-dd.so,False
juniper-command test aaa ppp routing-instance routing-instance-name,libauthd_cmd-dd.so,False
juniper-command test aaa ppp terminate-code admin-logout,libauthd_cmd-dd.so,False
juniper-command test aaa ppp terminate-code authenticate-authenticator-timeout,libauthd_cmd-dd.so,False
juniper-command test aaa ppp terminate-code authenticate-challenge-timeout,libauthd_cmd-dd.so,False
juniper-command test aaa ppp terminate-code authenticate-chap-no-resources,libauthd_cmd-dd.so,False
juniper-command test aaa ppp terminate-code authenticate-chap-peer-authenticator-timeout,libauthd_cmd-dd.so,False
juniper-command test aaa ppp terminate-code authenticate-chap-peer-challenge-timeout,libauthd_cmd-dd.so,False
